"","mean","sd","2.5%","97.5%","n_eff","Rhat4"
"a",0.141606748985,0.0444828948065055,0.0535305975,0.2331175,1087.13402926117,1.00203792417201
"h",-0.990990157,0.0322222630102248,-1.0569415,-0.93009335,606.396139062298,1.00839855604898
"a_Exp",0.0334640703592415,0.0546848729061198,-0.0741695975,0.14338845,1051.53163744698,1.00465910262943
"h_Exp",0.0439207887298,0.0382462036367858,-0.0300245925,0.119622875,669.159108886822,1.0045342018016
"a_Intercept[1]",0.007597560402,0.0601614064068087,-0.1094416,0.125282775,775.886915277593,1.00302566327183
"a_Intercept[2]",-0.0008934489669,0.0622074790476576,-0.1273541,0.1206001,727.518437265288,1.00600942811232
"a_Intercept[3]",0.0404605015182,0.0573315649950631,-0.0705094275,0.15693625,1544.12196446596,0.998515692967472
"a_Intercept[4]",0.00118391784565,0.064019187480524,-0.12642045,0.1303669,711.660179943182,1.00410738179957
"a_Intercept[5]",-0.03065385139125,0.0704207164875735,-0.1722536,0.109357675,1017.72497577888,0.998631221599726
"a_Intercept[6]",-0.00741295994175,0.0617293295758458,-0.127439775,0.1144824,741.535352045137,1.00222911659691
"a_Intercept[7]",0.00318828097125,0.0663479366551282,-0.12285565,0.135189475,1077.82102546143,1.00043972926284
"a_Intercept[8]",0.0274481242995,0.0608232503780525,-0.08881618,0.155167775,933.280883409975,1.00341734274382
"a_Intercept[9]",-0.0287960037002,0.0677293534386914,-0.1659778,0.1022638,1236.52673094545,0.998734928394897
"a_Intercept[10]",-0.02339852394995,0.0683814987894103,-0.157996725,0.112332925,513.898818155307,1.00582611281444
"a_Intercept[11]",0.0342085725135,0.0618698104143151,-0.08119584,0.16097205,777.335310671265,1.00333618325745
"a_Intercept[12]",0.014587022566755,0.0584887253516473,-0.105192625,0.132441225,865.507855174619,1.00964985495004
"a_Intercept[13]",0.0113125672116,0.0645496868503773,-0.114668775,0.14113365,773.184314580536,1.00683808021629
"a_Intercept[14]",-0.03445534215705,0.0721476791870432,-0.18034865,0.10668255,735.996147437779,1.00723821445276
"a_Intercept[15]",-0.01057855469376,0.0674845119853879,-0.143221475,0.132008975,730.01070638819,1.00634152736276
"a_Intercept[16]",-0.02579943997645,0.0648184090400753,-0.154526125,0.0928100774999999,441.108701431338,1.01543159359717
"a_Intercept[17]",0.0352480406232,0.0595363993026287,-0.0805687025,0.15117725,801.116766437862,1.00637803974498
"a_Intercept[18]",0.0233309550982,0.05984508006702,-0.0952815675,0.137312225,422.045909189417,1.02086396247478
"a_Intercept[19]",-0.020033422895959,0.0617594540125922,-0.142538725,0.0988914424999999,536.191307375772,1.00086183992567
"a_Intercept[20]",-0.01135060128101,0.0629994345920592,-0.135132875,0.1118037,563.180707418296,1.00790535750895
"a_Intercept[21]",-0.00791316926415,0.0673333473609891,-0.137551875,0.130608725,639.330719211442,0.998332462045139
"a_Intercept[22]",-0.00990905451005,0.0627954992722654,-0.131801625,0.1173735,682.519746970714,1.00060032953763
"a_Intercept[23]",0.0184136227745,0.0646625376330618,-0.109487375,0.15323975,808.746083327245,1.00561414599627
"a_Intercept[24]",-0.0095842375439,0.0596710180996804,-0.130091,0.104945175,1046.81748222434,0.999092579510997
"a_Intercept[25]",0.033142168721235,0.063715917018773,-0.0972429275,0.16191115,1106.07980743196,1.00021446379264
"a_Intercept[26]",-0.0190990719992,0.0672184272362324,-0.14669125,0.11439855,975.945455539134,1.00121475942148
"a_Intercept[27]",0.00368861182045,0.0647984976913717,-0.125346575,0.129323025,735.634745938459,0.999203091326753
"a_Intercept[28]",0.01739904507555,0.065399635300102,-0.109837975,0.157413,664.621478696717,1.00308142672014
"a_Intercept[29]",0.049533730908,0.0623287318860077,-0.068785245,0.1774394,766.299820578599,1.00531828555378
"a_Intercept[30]",0.000183197122145,0.0628124077891141,-0.12571555,0.124062875,992.119005328006,0.998803342313783
"a_Intercept[31]",0.0018666477051,0.0642399491447361,-0.117024025,0.1283737,775.141496931611,0.999576379103295
"a_Intercept[32]",0.00094801445475,0.0673125605077522,-0.128707575,0.13036145,758.577139172461,1.00283275250727
"a_Intercept[33]",-0.00425852611075,0.0702152130434896,-0.141519625,0.13461615,413.469027145176,1.003650369729
"a_Intercept[34]",0.02425465109715,0.0721128745982819,-0.11101195,0.176135775,193.012699461333,1.03128574674609
"a_Intercept[35]",-0.033238006921085,0.0650241406446694,-0.1622346,0.0930646174999999,531.07625652565,1.00296628947423
"a_Intercept[36]",-0.0060818469921,0.0637785393944535,-0.134641425,0.120577525,1361.71217394997,1.0006396123681
"a_Intercept[37]",-0.02017268998125,0.0759993693453913,-0.171001575,0.1342994,398.535776060644,1.00098026119348
"a_Intercept[38]",-0.025287409613245,0.0672052362706301,-0.1663048,0.10642225,583.626961689277,0.999173109010362
"a_Intercept[39]",0.0002984150282,0.0670299030672646,-0.126275325,0.1352296,1039.70865331178,1.00299857495419
"a_Intercept[40]",0.00695009609805,0.0601877088433082,-0.107116075,0.1297962,830.099790077014,1.00376491854461
"a_Intercept[41]",-0.002515259751,0.068000098957201,-0.127570725,0.144882275,358.232042203058,1.01226394806562
