Plate,Individual,Left,R,date,date of death,Measurement,Infection status,Batch,Exp_date,Sex,notes,date for notes
1,P1 13,13,15,7/13/2022,,1,C,2,07/08/22,M,,
1,P1 14,1,3,7/13/2022,,1,,2,07/08/22,M,,
1,P1 15,9,10,7/13/2022,,1,,2,07/08/22,M,,
2,P2 1,22,25,7/13/2022,,1,C,2,07/08/22,M,,
2,P2 2,7,10,7/13/2022,,1,,2,07/08/22,M,,
2,P2 3,0,3,7/13/2022,,1,,2,07/08/22,M,,
2,P2 4,12,15,7/13/2022,,1,C,2,07/08/22,M,,
2,P2 5,1,3,7/13/2022,,1,,2,07/08/22,M,,
2,P2 6,1,2,7/13/2022,,1,,2,07/08/22,M,,
2,P2 7,0,2,7/13/2022,,1,C,2,07/08/22,M,,
2,P2 8,22,25,7/13/2022,,1,,2,07/08/22,M,,
2,P2 9,7,10,7/13/2022,,1,,2,07/08/22,M,,
2,P2 10,3,5,7/13/2022,,1,C,2,07/08/22,M,,
2,P2 11,3,5,7/13/2022,,1,,2,07/08/22,M,,
2,P2 12,7,10,7/13/2022,,1,,2,07/08/22,M,,
2,P2 13,13,15,7/13/2022,,1,C,2,07/08/22,M,,
2,P2 14,1,3,7/13/2022,,1,,2,07/08/22,M,,
2,P2 15,6,10,7/13/2022,,1,,2,07/08/22,M,,
3,P3 1,23,25,7/13/2022,,1,C,2,07/08/22,M,,
3,P3 2,8,10,7/13/2022,,1,,2,07/08/22,M,,
3,P3 3,1,3,7/13/2022,,1,,2,07/08/22,M,,
3,P3 4,12,15,7/13/2022,,1,C,2,07/08/22,M,,
3,P3 5,0,3,7/13/2022,,1,,2,07/08/22,M,,
3,P3 6,0,2,7/13/2022,,1,,2,07/08/22,M,,
3,P3 7,0,2,7/13/2022,,1,C,2,07/08/22,M,,
3,P3 8,,25,7/13/2022,7/13/2022,1,,2,07/08/22,M,,
3,P3 9,7,10,7/13/2022,,1,,2,07/08/22,M,,
3,P3 10,4,5,7/13/2022,,1,C,2,07/08/22,M,,
3,P3 11,2,5,7/13/2022,,1,,2,07/08/22,M,,
3,P3 12,8,10,7/13/2022,,1,,2,07/08/22,M,,
3,P3 13,13,15,7/13/2022,,1,C,2,07/08/22,M,,
3,P3 14,,3,7/13/2022,7/13/2022,1,,2,07/08/22,M,,
3,P3 15,9,10,7/13/2022,,1,,2,07/08/22,M,,
1,P1 1,2,3,7/15/2022,,2,C,2,07/08/22,M,,
1,P1 2,4,5,7/15/2022,,2,,2,07/08/22,M,,
1,P1 3,,15,7/15/2022,7/15/2022,2,,2,07/08/22,M,,
1,P1 4,22,25,7/15/2022,,2,C,2,07/08/22,M,,
1,P1 5,14,15,7/15/2022,,2,,2,07/08/22,M,,
1,P1 6,3,5,7/15/2022,,2,,2,07/08/22,M,,
1,P1 7,22,25,7/15/2022,,2,C,2,07/08/22,M,,
1,P1 8,8,10,7/15/2022,,2,,2,07/08/22,M,,
1,P1 9,1,2,7/15/2022,,2,,2,07/08/22,M,,
1,P1 10,9,10,7/15/2022,,2,C,2,07/08/22,M,,
1,P1 11,2,3,7/15/2022,,2,,2,07/08/22,M,,
1,P1 12,2,5,7/15/2022,,2,,2,07/08/22,M,,
1,P1 13,2,5,7/15/2022,,2,C,2,07/08/22,M,,
1,P1 14,1,2,7/15/2022,,2,,2,07/08/22,M,,
1,P1 15,13,15,7/15/2022,,2,,2,07/08/22,M,,
2,P2 1,2,3,7/15/2022,,2,C,2,07/08/22,M,,
2,P2 2,2,5,7/15/2022,,2,,2,07/08/22,M,,
2,P2 3,12,15,7/15/2022,,2,,2,07/08/22,M,,
2,P2 4,23,25,7/15/2022,,2,C,2,07/08/22,M,,
2,P2 5,12,15,7/15/2022,,2,,2,07/08/22,M,,
2,P2 6,3,5,7/15/2022,,2,,2,07/08/22,M,,
2,P2 7,22,25,7/15/2022,,2,C,2,07/08/22,M,,
2,P2 8,7,10,7/15/2022,,2,,2,07/08/22,M,,
2,P2 9,1,2,7/15/2022,,2,,2,07/08/22,M,,
2,P2 10,9,10,7/15/2022,,2,C,2,07/08/22,M,,
2,P2 11,2,3,7/15/2022,,2,,2,07/08/22,M,,
2,P2 12,4,5,7/15/2022,,2,,2,07/08/22,M,,
2,P2 13,3,5,7/15/2022,,2,C,2,07/08/22,M,,
2,P2 14,1,2,7/15/2022,,2,,2,07/08/22,M,,
2,P2 15,13,15,7/15/2022,,2,,2,07/08/22,M,,
3,P3 1,2,3,7/15/2022,,2,C,2,07/08/22,M,,
3,P3 2,4,5,7/15/2022,,2,,2,07/08/22,M,,
3,P3 3,12,15,7/15/2022,,2,,2,07/08/22,M,,
3,P3 4,22,25,7/15/2022,,2,C,2,07/08/22,M,,
3,P3 5,12,15,7/15/2022,,2,,2,07/08/22,M,,
3,P3 6,4,5,7/15/2022,,2,,2,07/08/22,M,,
3,P3 7,23,25,7/15/2022,,2,C,2,07/08/22,M,,
3,P3 8,,10,7/15/2022,7/13/2022,2,,2,07/08/22,M,,
3,P3 9,1,2,7/15/2022,,2,,2,07/08/22,M,,
3,P3 10,9,10,7/15/2022,,2,C,2,07/08/22,M,,
3,P3 11,2,3,7/15/2022,,2,,2,07/08/22,M,,
3,P3 12,3,5,7/15/2022,,2,,2,07/08/22,M,,
3,P3 13,3,5,7/15/2022,,2,C,2,07/08/22,M,,
3,P3 14,,2,7/15/2022,7/13/2022,2,,2,07/08/22,M,,
3,P3 15,12,15,7/15/2022,,2,,2,07/08/22,M,,
1,P1 1,9,10,7/18/2022,,3,C,2,07/08/22,M,,
1,P1 2,22,25,7/18/2022,,3,,2,07/08/22,M,,
1,P1 3,,5,7/18/2022,7/15/2022,3,,2,07/08/22,M,,
1,P1 4,3,5,7/18/2022,,3,C,2,07/08/22,M,,
1,P1 5,22,25,7/18/2022,,3,,2,07/08/22,M,,
1,P1 6,7,10,7/18/2022,,3,,2,07/08/22,M,,
1,P1 7,12,15,7/18/2022,,3,C,2,07/08/22,M,,
1,P1 8,2,3,7/18/2022,,3,,2,07/08/22,M,,
1,P1 9,4,5,7/18/2022,,3,,2,07/08/22,M,,
1,P1 10,22,25,7/18/2022,,3,C,2,07/08/22,M,,
1,P1 11,13,15,7/18/2022,,3,,2,07/08/22,M,,
1,P1 12,1,3,7/18/2022,,3,,2,07/08/22,M,,
1,P1 13,1,2,7/18/2022,,3,C,2,07/08/22,M,,
1,P1 14,22,25,7/18/2022,,3,,2,07/08/22,M,,
1,P1 15,1,3,7/18/2022,,3,,2,07/08/22,M,,
2,P2 1,7,10,7/18/2022,,3,C,2,07/08/22,M,,
2,P2 2,23,25,7/18/2022,,3,,2,07/08/22,M,,
2,P2 3,4,5,7/18/2022,,3,,2,07/08/22,M,,
2,P2 4,,5,7/18/2022,7/18/2022,3,C,2,07/08/22,M,,
2,P2 5,23,25,7/18/2022,,3,,2,07/08/22,M,,
2,P2 6,8,10,7/18/2022,,3,,2,07/08/22,M,,
2,P2 7,13,15,7/18/2022,,3,C,2,07/08/22,M,,
2,P2 8,0,3,7/18/2022,,3,,2,07/08/22,M,,
2,P2 9,2,5,7/18/2022,,3,,2,07/08/22,M,,
2,P2 10,22,25,7/18/2022,,3,C,2,07/08/22,M,,
2,P2 11,13,15,7/18/2022,,3,,2,07/08/22,M,,
2,P2 12,2,3,7/18/2022,,3,,2,07/08/22,M,,
2,P2 13,0,2,7/18/2022,,3,C,2,07/08/22,M,,
2,P2 14,23,25,7/18/2022,,3,,2,07/08/22,M,,
2,P2 15,2,3,7/18/2022,,3,,2,07/08/22,M,,
3,P3 1,8,10,7/18/2022,,3,C,2,07/08/22,M,,
3,P3 2,22,25,7/18/2022,,3,,2,07/08/22,M,,
3,P3 3,2,5,7/18/2022,,3,,2,07/08/22,M,,
3,P3 4,2,5,7/18/2022,,3,C,2,07/08/22,M,,
3,P3 5,22,25,7/18/2022,,3,,2,07/08/22,M,,
3,P3 6,9,10,7/18/2022,,3,,2,07/08/22,M,,
3,P3 7,14,15,7/18/2022,,3,C,2,07/08/22,M,,
3,P3 8,,3,7/18/2022,7/13/2022,3,,2,07/08/22,M,,
3,P3 9,2,5,7/18/2022,,3,,2,07/08/22,M,,
3,P3 10,22,25,7/18/2022,,3,C,2,07/08/22,M,,
3,P3 11,13,15,7/18/2022,,3,,2,07/08/22,M,,
3,P3 12,2,3,7/18/2022,,3,,2,07/08/22,M,,
3,P3 13,1,2,7/18/2022,,3,C,2,07/08/22,M,,
3,P3 14,,25,7/18/2022,7/13/2022,3,,2,07/08/22,M,,
3,P3 15,2,3,7/18/2022,,3,,2,07/08/22,M,,
1,P1 1,4,5,7/20/2022,,4,C,2,07/08/22,M,,
1,P1 2,2,3,7/20/2022,,4,,2,07/08/22,M,,
1,P1 3,,2,7/20/2022,7/15/2022,4,,2,07/08/22,M,,
1,P1 4,8,10,7/20/2022,,4,C,2,07/08/22,M,,
1,P1 5,3,5,7/20/2022,,4,,2,07/08/22,M,,
1,P1 6,12,15,7/20/2022,,4,,2,07/08/22,M,,
1,P1 7,3,5,7/20/2022,,4,C,2,07/08/22,M,,
1,P1 8,3,5,7/20/2022,,4,,2,07/08/22,M,,
1,P1 9,1,3,7/20/2022,,4,,2,07/08/22,M,,
1,P1 10,12,15,7/20/2022,,4,C,2,07/08/22,M,,
1,P1 11,0,2,7/20/2022,,4,,2,07/08/22,M,,
1,P1 12,22,25,7/20/2022,,4,,2,07/08/22,M,,
1,P1 13,7,10,7/20/2022,,4,C,2,07/08/22,M,,
1,P1 14,9,10,7/20/2022,,4,,2,07/08/22,M,,
1,P1 15,2,5,7/20/2022,,4,,2,07/08/22,M,,
2,P2 1,3,5,7/20/2022,,4,C,2,07/08/22,M,,
2,P2 2,2,3,7/20/2022,,4,,2,07/08/22,M,,
2,P2 3,0,2,7/20/2022,,4,,2,07/08/22,M,,
2,P2 4,,10,7/20/2022,7/18/2022,4,C,2,07/08/22,M,,
2,P2 5,3,5,7/20/2022,,4,,2,07/08/22,M,,
2,P2 6,12,15,7/20/2022,,4,,2,07/08/22,M,,
2,P2 7,2,5,7/20/2022,,4,C,2,07/08/22,M,,
2,P2 8,3,5,7/20/2022,,4,,2,07/08/22,M,,
2,P2 9,2,3,7/20/2022,,4,,2,07/08/22,M,,
2,P2 10,13,15,7/20/2022,,4,C,2,07/08/22,M,,
2,P2 11,1,2,7/20/2022,,4,,2,07/08/22,M,,
2,P2 12,22,25,7/20/2022,,4,,2,07/08/22,M,,
2,P2 13,8,10,7/20/2022,,4,C,2,07/08/22,M,,
2,P2 14,9,10,7/20/2022,,4,,2,07/08/22,M,,
2,P2 15,2,5,7/20/2022,,4,,2,07/08/22,M,,
3,P3 1,4,5,7/20/2022,,4,C,2,07/08/22,M,,
3,P3 2,1,3,7/20/2022,,4,,2,07/08/22,M,,
3,P3 3,1,2,7/20/2022,,4,,2,07/08/22,M,,
3,P3 4,7,10,7/20/2022,,4,C,2,07/08/22,M,,
3,P3 5,3,5,7/20/2022,,4,,2,07/08/22,M,,
3,P3 6,13,15,7/20/2022,,4,,2,07/08/22,M,,
3,P3 7,3,5,7/20/2022,,4,C,2,07/08/22,M,,
3,P3 8,,5,7/20/2022,7/13/2022,4,,2,07/08/22,M,,
3,P3 9,2,3,7/20/2022,,4,,2,07/08/22,M,,
3,P3 10,13,15,7/20/2022,,4,C,2,07/08/22,M,,
3,P3 11,0,2,7/20/2022,,4,,2,07/08/22,M,,
3,P3 12,22,25,7/20/2022,,4,,2,07/08/22,M,,
3,P3 13,8,10,7/20/2022,,4,C,2,07/08/22,M,,
3,P3 14,,10,7/20/2022,7/13/2022,4,,2,07/08/22,M,,
3,P3 15,2,5,7/20/2022,,4,,2,07/08/22,M,,
1,P1 1,0,2,7/22/2022,,5,C,2,07/08/22,M,,
1,P1 2,12,15,7/22/2022,,5,,2,07/08/22,M,,
1,P1 3,,25,7/22/2022,7/15/2022,5,,2,07/08/22,M,,
1,P1 4,1,3,7/22/2022,,5,C,2,07/08/22,M,,
1,P1 5,1,2,7/22/2022,,5,,2,07/08/22,M,,
1,P1 6,2,3,7/22/2022,,5,,2,07/08/22,M,,
1,P1 7,8,10,7/22/2022,,5,C,2,07/08/22,M,,
1,P1 8,2,2,7/22/2022,,5,,2,07/08/22,M,,
1,P1 9,22,25,7/22/2022,,5,,2,07/08/22,M,,
1,P1 10,1,3,7/22/2022,,5,C,2,07/08/22,M,,
1,P1 11,23,25,7/22/2022,,5,,2,07/08/22,M,,
1,P1 12,13,15,7/22/2022,,5,,2,07/08/22,M,,
1,P1 13,24,25,7/22/2022,,5,C,2,07/08/22,M,,
1,P1 14,14,15,7/22/2022,,5,,2,07/08/22,M,,
1,P1 15,0,2,7/22/2022,,5,,2,07/08/22,M,,
2,P2 1,0,2,7/22/2022,,5,C,2,07/08/22,M,,
2,P2 2,12,15,7/22/2022,,5,,2,07/08/22,M,,
2,P2 3,24,25,7/22/2022,,5,,2,07/08/22,M,,
2,P2 4,,3,7/22/2022,7/18/2022,5,C,2,07/08/22,M,,
2,P2 5,0,2,7/22/2022,,5,,2,07/08/22,M,,
2,P2 6,0,3,7/22/2022,,5,,2,07/08/22,M,,
2,P2 7,7,10,7/22/2022,,5,C,2,07/08/22,M,,
2,P2 8,0,2,7/22/2022,,5,,2,07/08/22,M,,
2,P2 9,24,25,7/22/2022,,5,,2,07/08/22,M,,
2,P2 10,2,3,7/22/2022,,5,C,2,07/08/22,M,,
2,P2 11,23,25,7/22/2022,,5,,2,07/08/22,M,,
2,P2 12,13,15,7/22/2022,,5,,2,07/08/22,M,,
2,P2 13,22,25,7/22/2022,,5,C,2,07/08/22,M,,
2,P2 14,13,15,7/22/2022,,5,,2,07/08/22,M,,
2,P2 15,0,2,7/22/2022,,5,,2,07/08/22,M,,
3,P3 1,1,2,7/22/2022,,5,C,2,07/08/22,M,,
3,P3 2,13,15,7/22/2022,,5,,2,07/08/22,M,,
3,P3 3,22,25,7/22/2022,,5,,2,07/08/22,M,,
3,P3 4,2,3,7/22/2022,,5,C,2,07/08/22,M,,
3,P3 5,0,2,7/22/2022,,5,,2,07/08/22,M,,
3,P3 6,1,3,7/22/2022,,5,,2,07/08/22,M,,
3,P3 7,9,10,7/22/2022,,5,C,2,07/08/22,M,,
3,P3 8,,2,7/22/2022,7/13/2022,5,,2,07/08/22,M,,
3,P3 9,23,25,7/22/2022,,5,,2,07/08/22,M,,
3,P3 10,2,3,7/22/2022,,5,C,2,07/08/22,M,,
3,P3 11,22,25,7/22/2022,,5,,2,07/08/22,M,,
3,P3 12,14,15,7/22/2022,,5,,2,07/08/22,M,,
3,P3 13,23,25,7/22/2022,,5,C,2,07/08/22,M,,
