Plate,Individual,Left,R,date,date of death,Measurement,Infection status,Batch,Exp_date,Sex,notes,date for notes
3,P3 3,12,15,07/15/22,,2,E-,2,07.08.2022,M,,
3,P3 4,22,25,07/15/22,,2,C,2,07.08.2022,M,,
3,P3 5,12,15,07/15/22,,2,E-,2,07.08.2022,M,,
3,P3 6,4,5,07/15/22,,2,E-,2,07.08.2022,M,,
3,P3 7,23,25,07/15/22,,2,C,2,07.08.2022,M,,
3,P3 8,,10,07/15/22,07/13/22,2,,2,07.08.2022,M,,
3,P3 9,1,2,07/15/22,,2,E-,2,07.08.2022,M,,
3,P3 10,9,10,07/15/22,,2,C,2,07.08.2022,M,,
3,P3 11,2,3,07/15/22,,2,E+,2,07.08.2022,M,,
3,P3 12,3,5,07/15/22,,2,E-,2,07.08.2022,M,,
3,P3 13,3,5,07/15/22,,2,C,2,07.08.2022,M,,
3,P3 14,,2,07/15/22,07/13/22,2,,2,07.08.2022,M,,
3,P3 15,12,15,07/15/22,,2,E+,2,07.08.2022,M,,
1,P1 1,9,10,07/18/22,,3,C,2,07.08.2022,M,,
1,P1 2,22,25,07/18/22,,3,E+,2,07.08.2022,M,,
1,P1 3,,5,07/18/22,07/15/22,3,,2,07.08.2022,M,,
1,P1 4,3,5,07/18/22,,3,C,2,07.08.2022,M,,
1,P1 5,22,25,07/18/22,,3,E+,2,07.08.2022,M,,
1,P1 6,7,10,07/18/22,,3,E-,2,07.08.2022,M,,
1,P1 7,12,15,07/18/22,,3,C,2,07.08.2022,M,,
1,P1 8,2,3,07/18/22,,3,E-,2,07.08.2022,M,,
1,P1 9,4,5,07/18/22,,3,E+,2,07.08.2022,M,,
1,P1 10,22,25,07/18/22,,3,C,2,07.08.2022,M,,
1,P1 11,13,15,07/18/22,,3,E-,2,07.08.2022,M,,
1,P1 12,1,3,07/18/22,,3,E-,2,07.08.2022,M,,
1,P1 13,1,2,07/18/22,,3,C,2,07.08.2022,M,,
1,P1 14,22,25,07/18/22,,3,E+,2,07.08.2022,M,,
1,P1 15,1,3,07/18/22,,3,E-,2,07.08.2022,M,,
